Index,Competition,Date,Home_Team,Away_Team,Home_Score,Away_Score,Season,Place,Year,Month,Atletico_Goals,Opponent_Goals,Goal_Difference,Match_Status
367,Spain Liga,2017-11-18,Atletico Madrid,Real Madrid,0,0,2017/18,Home,2017,11,0,0,0,Draw
368,Spain Liga,2017-11-04,Deportivo La Coruna,Atletico Madrid,0,1,2017/18,Away,2017,11,1,0,1,Win
369,UEFA Champions League,2017-10-31,Atletico Madrid,Qarabağ,1,1,2017/18,Home,2017,10,1,1,0,Draw
370,Spain Liga,2017-10-28,Atletico Madrid,Villarreal,1,1,2017/18,Home,2017,10,1,1,0,Draw
371,Spain Liga,2017-10-22,Celta Vigo,Atletico Madrid,0,1,2017/18,Away,2017,10,1,0,1,Win
372,UEFA Champions League,2017-10-18,Qarabağ,Atletico Madrid,0,0,2017/18,Away,2017,10,0,0,0,Draw
373,Spain Liga,2017-10-14,Atletico Madrid,Barcelona,1,1,2017/18,Home,2017,10,1,1,0,Draw
374,Spain Liga,2017-09-30,Leganes,Atletico Madrid,0,0,2017/18,Away,2017,9,0,0,0,Draw
375,UEFA Champions League,2017-09-27,Atletico Madrid,Chelsea FC,1,2,2017/18,Home,2017,9,1,2,-1,Loss
376,Spain Liga,2017-09-23,Atletico Madrid,Sevilla,2,0,2017/18,Home,2017,9,2,0,2,Win
377,Spain Liga,2017-09-20,Athletic Bilbao,Atletico Madrid,1,2,2017/18,Away,2017,9,2,1,1,Win
378,Spain Liga,2017-09-16,Atletico Madrid,Malaga,1,0,2017/18,Home,2017,9,1,0,1,Win
379,UEFA Champions League,2017-09-12,AS Roma,Atletico Madrid,0,0,2017/18,Away,2017,9,0,0,0,Draw
380,Spain Liga,2017-09-09,Valencia,Atletico Madrid,0,0,2017/18,Away,2017,9,0,0,0,Draw
381,Spain Liga,2017-08-26,Las Palmas,Atletico Madrid,1,5,2017/18,Away,2017,8,5,1,4,Win
382,Spain Liga,2017-08-19,Girona,Atletico Madrid,2,2,2017/18,Away,2017,8,2,2,0,Draw
383,Spain Liga,2017-05-21,Atletico Madrid,Athletic Bilbao,3,1,2016/17,Home,2017,5,3,1,2,Win
384,Spain Liga,2017-05-14,Real Betis,Atletico Madrid,1,1,2016/17,Away,2017,5,1,1,0,Draw
